date,af
20180101,514.85
20180102,520.65
20180103,492.10
20180104,474.23
20180105,466.33
20180106,472.17
20180107,504.06
20180108,508.40
20180109,534.25
20180110,566.83
20180111,586.19
20180112,577.75
20180113,533.88
20180114,532.50
20180115,527.85
20180116,536.94
20180117,492.10
20180118,451.27
20180119,472.00
20180120,507.65
20180121,560.00
20180122,550.65
20180123,467.15
20180124,427.46
20180125,486.12
20180126,483.77
20180127,480.52
20180128,470.40
20180129,484.08
20180130,519.35
20180131,524.92
20180201,537.21
20180202,569.31
20180203,568.75
20180204,583.19
20180205,582.85
20180206,579.65
20180207,600.56
20180208,593.73
20180209,583.71
20180210,573.98
20180211,565.52
20180212,566.85
20180213,561.60
20180214,576.19
20180215,569.02
20180216,577.56
20180217,583.75
20180218,597.42
20180219,580.15
20180220,567.98
20180221,565.23
20180222,576.31
20180223,567.08
20180224,548.79
20180225,549.17
20180226,554.19
20180227,569.98
20180228,575.29
20180301,564.98
20180302,555.33
20180303,555.12
20180304,559.40
20180305,550.62
20180306,544.02
20180307,550.02
20180308,556.46
20180309,546.08
20180310,540.40
20180311,522.41
20180312,528.42
20180313,539.52
20180314,556.04
20180315,566.08
20180316,576.75
20180317,589.35
20180318,636.96
20180319,660.00
20180320,627.62
20180321,607.65
20180322,585.69
20180323,569.19
20180324,519.02
20180325,468.73
20180326,464.98
20180327,488.71
20180328,522.17
20180329,476.04
20180330,420.10
20180331,367.33
20180401,336.23
20180402,320.67
20180403,296.67
20180404,283.98
20180405,274.60
20180406,263.65
20180407,261.67
20180408,263.02
20180409,285.73
20180410,268.56
20180411,582.60
20180412,531.98
20180413,410.52
20180414,330.77
20180415,279.19
20180416,256.06
20180417,243.96
20180418,229.40
20180419,210.62
20180420,217.08
20180421,231.90
20180422,244.94
20180423,249.23
20180424,244.15
20180425,245.50
20180426,237.88
20180427,225.94
20180428,228.67
20180429,233.81
20180430,242.10
20180501,239.52
20180502,215.58
20180503,220.75
20180504,233.67
20180505,243.42
20180506,234.25
20180507,228.08
20180508,225.60
20180509,214.85
20180510,215.79
20180511,219.46
20180512,234.00
20180513,243.17
20180514,298.21
20180515,335.38
20180516,339.62
20180517,326.69
20180518,297.35
20180519,290.25
20180520,308.98
20180521,310.56
20180522,321.12
20180523,306.62
20180524,281.19
20180525,275.92
20180526,291.65
20180527,282.50
20180528,262.69
20180529,267.06
20180530,266.90
20180531,260.31
20180601,243.58
20180602,228.60
20180603,221.65
20180604,221.75
20180605,229.56
20180606,235.29
20180607,260.23
20180608,277.38
20180609,286.75
20180610,257.77
20180611,237.08
20180612,224.65
20180613,212.58
20180614,199.00
20180615,192.35
20180616,190.21
20180617,191.96
20180618,186.15
20180619,188.98
20180620,189.17
20180621,182.77
20180622,178.06
20180623,174.88
20180624,165.19
20180625,158.25
20180626,156.44
20180627,147.08
20180628,156.69
20180629,152.44
20180630,147.56
20180701,140.56
20180702,136.56
20180703,136.62
20180704,138.00
20180705,137.81
20180706,144.56
20180707,160.44
20180708,157.00
20180709,156.38
20180710,153.00
20180711,144.06
20180712,151.44
20180713,138.75
20180714,146.04
20180715,152.52
20180716,147.94
20180717,174.44
20180718,162.00
20180719,154.31
20180720,145.12
20180721,134.90
20180722,132.39
20180723,130.19
20180724,177.77
20180725,182.04
20180726,162.88
20180727,150.21
20180728,160.56
20180729,157.94
20180730,150.00
20180731,144.88
20180801,144.69
20180802,141.94
20180803,135.35
20180804,136.56
20180805,134.69
20180806,132.62
20180807,134.73
20180808,130.65
20180809,157.04
20180810,195.38
20180811,150.31
20180812,143.12
20180813,137.06
20180814,133.38
20180815,132.31
20180816,132.88
20180817,133.75
20180818,139.04
20180819,176.81
20180820,173.29
20180821,169.96
20180822,172.27
20180823,171.08
20180824,149.08
20180825,149.83
