 Gage Information - ELVN5 - EL VADO DAM                             
                                                                                                
                                        
  Year 2018

  Month  Day  Time   Storage    Elevation
             (mst)   (LS ac-ft) (HP ft)
  -----  ---  ----   -------    ---------
  Aug     25  2000    12526      6803.42
  Aug     25  1930    12526      6803.42
  Aug     25  1900    12526      6803.42
  Aug     25  1830    12526      6803.42
  Aug     25  1800    12526      6803.42
  Aug     25  1730    12526      6803.42
  Aug     25  1700    12526      6803.42
  Aug     25  1630    12526      6803.42
  Aug     25  1600    12526      6803.42
  Aug     25  1530    12526      6803.42
  Aug     25  1500    12533      6803.43
  Aug     25  1430    12533      6803.43
  Aug     25  1400    12533      6803.43
  Aug     25  1330    12533      6803.43
  Aug     25  1300    12533      6803.43
  Aug     25  1230    12533      6803.43
  Aug     25  1200    12533      6803.43
  Aug     25  1130    12533      6803.43
  Aug     25  1100    12533      6803.43
  Aug     25  1030    12533      6803.43
  Aug     25  1000    12526      6803.42
  Aug     25   930    12526      6803.42
  Aug     25   900    12526      6803.42
  Aug     25   830    12526      6803.42
  Aug     25   800    12526      6803.42
  Aug     25   730    12526      6803.42
  Aug     25   700    12526      6803.42
  Aug     25   630    12526      6803.42
  Aug     25   600    12533      6803.43
  Aug     25   530    12533      6803.43
  Aug     25   500    12533      6803.43
  Aug     25   430    12533      6803.43
  Aug     25   400    12533      6803.43
  Aug     25   330    12533      6803.43
  Aug     25   300    12533      6803.43
  Aug     25   230    12533      6803.43
  Aug     25   200    12533      6803.43
  Aug     25   130    12533      6803.43
  Aug     25   100    12533      6803.43
  Aug     25    30    12533      6803.43
  Aug     25     0    12533      6803.43
  Aug     24  2330    12533      6803.43
  Aug     24  2300    12533      6803.43
  Aug     24  2230    12533      6803.43
  Aug     24  2200    12533      6803.43
  Aug     24  2130    12533      6803.43
  Aug     24  2100    12533      6803.43
  Aug     24  2030    12540      6803.44
  Aug     24  2000    12540      6803.44
  Aug     24  1930    12540      6803.44
  Aug     24  1900    12540      6803.44
  Aug     24  1830    12540      6803.44
  Aug     24  1800    12540      6803.44
  Aug     24  1730    12540      6803.44
  Aug     24  1700    12540      6803.44
  Aug     24  1630    12540      6803.44
  Aug     24  1600    12540      6803.44
  Aug     24  1530    12540      6803.44
  Aug     24  1500    12540      6803.44
  Aug     24  1430    12540      6803.44
  Aug     24  1400    12540      6803.44
  Aug     24  1330    12540      6803.44
  Aug     24  1300    12540      6803.44
  Aug     24  1230    12540      6803.44
  Aug     24  1200    12540      6803.44
  Aug     24  1130    12540      6803.44
  Aug     24  1100    12574      6803.49
  Aug     24  1030    12540      6803.44
  Aug     24  1000    12540      6803.44
  Aug     24   930    12540      6803.44
